State,Level - Ph.D,Level - M.Phil,Level - Post Graduate,Level - Under Graduate,Level - PG Diploma,Level - Diploma,Level - Certificate,Level - Integrated
Andaman & Nicobar Islands,0.21,NA,1.1,1.24,0.55,0.63,0,2.97
Andhra Pradesh,0.68,0.7,0.76,0.71,0.51,0.8,2.36,0.33
Arunachal Pradesh,0.59,0.87,1.26,1.2,0.66,0.42,0.24,NA
Assam,0.58,2.03,1.16,1.01,0.95,0.8,1.11,1.5
Bihar,0.5,NA,0.66,0.71,0.59,0.42,0.59,0.93
Chandigarh,1.22,1.28,1.42,0.67,1.19,0.82,0.41,0.68
Chhatisgarh,0.91,1.23,0.97,0.92,0.69,0.54,6.25,0.92
Dadra & Nagar Haveli,NA,NA,0.73,0.98,NA,0.19,NA,NA
Daman & Diu,NA,NA,NA,1.92,NA,0.16,NA,NA
Delhi,0.84,1.15,1.05,0.88,0.54,0.45,0.56,0.39
Goa,1.45,NA,2.09,1.42,0.49,0.35,12.5,1.98
Gujarat,0.51,0.96,0.88,0.77,0.58,0.27,1.22,1.06
Haryana,1.11,1.23,1.26,0.78,0.46,0.23,1.22,0.88
Himachal Pradesh,0.91,1.41,1.07,1.07,0.77,0.45,0.97,0.36
Jammu and Kashmir,0.72,0.99,1.11,1.07,0.42,1.54,0,1.16
Jharkhand,0.59,1.69,1.04,0.96,0.34,0.43,1.01,0.48
Karnataka,0.55,1.13,0.9,0.95,0.86,0.59,1.26,0.69
Kerala,1.29,2.18,1.83,1.32,0.06,1.13,6.64,0.95
Lakshadweep,NA,NA,3.17,3.12,NA,NA,NA,NA
Madhya Pradesh,0.61,0.86,0.75,0.69,0.12,0.12,0.96,0.5
Maharashtra,0.53,0.68,0.76,0.76,0.5,0.54,1.34,0.76
Manipur,0.97,NA,0.98,0.97,0.6,0.37,2.74,NA
Meghalaya,0.99,1,1.49,1.03,0.43,3.36,1.14,NA
Mizoram,1.43,1.8,0.9,0.96,0.1,2.61,4,NA
Nagaland,0.9,NA,0.37,0.84,1.93,0.45,NA,NA
Odisha,1,1.49,0.91,0.9,0.39,0.23,0.99,0.65
Puducherry,0.56,2.38,0.74,1.16,0.72,0.35,8.6,0.79
Punjab,1.02,1.43,1.74,0.89,1.51,0.26,0.58,0.32
Rajasthan,1.36,0.9,0.8,0.69,0.38,0.24,1.37,0.52
Sikkim,0.7,0.82,1.22,1.16,0.69,0.68,NA,1.16
Tamil Nadu,0.76,1.72,1.12,0.99,0.44,0.24,1.48,0.66
Telangana,0.54,0.54,0.8,0.82,0.44,1.16,1.64,0.63
Tripura,0.68,NA,0.84,0.7,0.63,1.19,0.17,1.67
Uttar Pradesh,0.54,1.06,1.04,0.95,0.5,0.57,1.17,0.42
Uttrakhand,0.51,0.57,0.99,1.01,1.01,0.37,0.73,0.31
West Bengal,0.4,1.14,1.08,0.77,0.41,0.27,0.55,0.28
All India,0.71,1.29,0.96,0.86,0.36,0.39,1.17,0.59
